epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,135.358,1.18406,0.91605,1.14788,0.78349,0.65795,0.73978,0.45062,1.38999,1.09602,1.32883,0.001076,0.001076,0.001076
44,138.359,1.1747,0.88429,1.15262,0.7542,0.65455,0.7395,0.45174,1.38474,1.03207,1.31301,0.001054,0.001054,0.001054
45,141.307,1.17578,0.88189,1.14314,0.77711,0.65504,0.73458,0.44736,1.40663,1.11102,1.32157,0.001032,0.001032,0.001032
46,144.354,1.10877,0.85953,1.109,0.78525,0.67273,0.73932,0.44649,1.44726,1.07511,1.36528,0.00101,0.00101,0.00101
47,147.251,1.14573,0.86906,1.13684,0.78722,0.67266,0.73326,0.4502,1.38817,1.08847,1.29954,0.000988,0.000988,0.000988
48,150.263,1.14946,0.87649,1.12694,0.80397,0.6303,0.73235,0.43291,1.44484,1.09636,1.32056,0.000966,0.000966,0.000966
49,153.234,1.12087,0.84361,1.11139,0.81899,0.64242,0.74044,0.45683,1.42134,1.06346,1.3175,0.000944,0.000944,0.000944
50,156.337,1.10399,0.81772,1.10968,0.77308,0.6697,0.73421,0.43754,1.4376,1.11225,1.32739,0.000922,0.000922,0.000922
51,159.316,1.13856,0.83072,1.11721,0.80095,0.67066,0.76087,0.46147,1.37495,1.05337,1.29763,0.0009,0.0009,0.0009
52,162.333,1.13926,0.82643,1.13216,0.79469,0.64545,0.75268,0.45596,1.3929,1.06616,1.32817,0.000878,0.000878,0.000878
53,165.273,1.12607,0.81165,1.09898,0.87061,0.61171,0.74468,0.43988,1.414,1.07842,1.32761,0.000856,0.000856,0.000856
54,168.291,1.08027,0.81801,1.0944,0.75955,0.65152,0.71962,0.44006,1.41478,1.1454,1.32381,0.000834,0.000834,0.000834
55,171.223,1.10276,0.7924,1.10594,0.78744,0.66061,0.75798,0.45237,1.39481,1.08571,1.31379,0.000812,0.000812,0.000812
56,174.24,1.08858,0.83727,1.10911,0.72833,0.68182,0.74972,0.46104,1.35217,1.02918,1.27555,0.00079,0.00079,0.00079
57,177.205,1.08715,0.79286,1.11588,0.75001,0.67277,0.73728,0.45395,1.38697,1.04262,1.304,0.000768,0.000768,0.000768
58,180.251,1.04366,0.81449,1.08141,0.82453,0.66926,0.76991,0.46134,1.35342,1.01048,1.30608,0.000746,0.000746,0.000746
59,183.205,1.04446,0.77478,1.08122,0.78364,0.6805,0.76164,0.45702,1.37287,1.00512,1.28395,0.000724,0.000724,0.000724
60,186.147,1.03731,0.74556,1.08234,0.8327,0.63636,0.76417,0.47579,1.35682,0.98847,1.27373,0.000702,0.000702,0.000702
61,189.136,1.07253,0.75851,1.09796,0.77505,0.65777,0.75132,0.46194,1.3685,1.0279,1.3053,0.00068,0.00068,0.00068
62,192.206,1.08258,0.76695,1.08642,0.74954,0.65455,0.7236,0.44086,1.37955,1.02276,1.32141,0.000658,0.000658,0.000658
63,195.146,1.08589,0.75997,1.10845,0.78287,0.65557,0.74486,0.46973,1.31759,1.02522,1.26166,0.000636,0.000636,0.000636
64,198.134,1.03197,0.72218,1.07387,0.79216,0.66667,0.74855,0.46635,1.38502,1.02707,1.29352,0.000614,0.000614,0.000614
65,201.13,1.06546,0.76597,1.08839,0.78286,0.66646,0.74227,0.44757,1.39397,1.08098,1.27155,0.000592,0.000592,0.000592
66,204.17,1.0755,0.7624,1.12354,0.75188,0.65758,0.74062,0.46031,1.38505,1.02307,1.31379,0.00057,0.00057,0.00057
67,207.056,1.03136,0.76162,1.0818,0.80552,0.68485,0.76368,0.48386,1.33392,1.00672,1.26319,0.000548,0.000548,0.000548
68,210.065,1.01503,0.72341,1.08263,0.76955,0.65758,0.73449,0.46772,1.35371,1.06502,1.29934,0.000526,0.000526,0.000526
69,213.089,0.9929,0.6926,1.05826,0.7878,0.65251,0.74048,0.46468,1.36142,1.03833,1.30003,0.000504,0.000504,0.000504
70,216.09,1.02585,0.71782,1.05278,0.75776,0.67576,0.73075,0.43971,1.44343,1.10499,1.35993,0.000482,0.000482,0.000482
71,219.104,1.02599,0.70035,1.07163,0.74426,0.68182,0.7292,0.45098,1.394,1.03099,1.33647,0.00046,0.00046,0.00046
72,222.118,1.03012,0.70413,1.07664,0.78646,0.6697,0.75561,0.46692,1.38597,1.02289,1.30153,0.000438,0.000438,0.000438
73,225.092,0.97807,0.66705,1.04267,0.78015,0.68788,0.74983,0.47368,1.34996,1.00012,1.29574,0.000416,0.000416,0.000416
74,228.123,0.99635,0.67931,1.03706,0.76316,0.71282,0.76102,0.4743,1.32654,0.99305,1.28889,0.000394,0.000394,0.000394
75,231.059,0.98912,0.72802,1.04467,0.78029,0.68788,0.75284,0.46664,1.34719,1.02328,1.28644,0.000372,0.000372,0.000372
76,234.044,0.95882,0.69013,1.02895,0.78851,0.68788,0.75294,0.47467,1.37104,1.0223,1.30018,0.00035,0.00035,0.00035
77,237.056,0.98559,0.66516,1.03698,0.82163,0.6697,0.75781,0.4723,1.35181,0.98245,1.2936,0.000328,0.000328,0.000328
78,240.095,0.93295,0.63742,1.0308,0.78729,0.69539,0.76687,0.48098,1.33928,0.99352,1.27891,0.000306,0.000306,0.000306
79,243.073,0.96643,0.65582,1.03616,0.8058,0.68485,0.76307,0.47993,1.33309,0.99919,1.27057,0.000284,0.000284,0.000284
80,246.095,0.97894,0.66921,1.04372,0.79949,0.69394,0.76769,0.48842,1.31303,0.97659,1.26436,0.000262,0.000262,0.000262
81,250.133,0.91029,0.63075,0.98127,0.77091,0.6697,0.74183,0.46937,1.36196,1.05418,1.29797,0.00024,0.00024,0.00024
82,253.097,0.84532,0.57317,0.96727,0.72912,0.70964,0.73621,0.45832,1.33993,1.0126,1.29768,0.000218,0.000218,0.000218
83,256.013,0.85469,0.5735,0.98346,0.74209,0.70909,0.74266,0.46703,1.32713,1.01167,1.27794,0.000196,0.000196,0.000196
84,259.049,0.84391,0.55683,0.97534,0.79359,0.6874,0.74775,0.47205,1.32574,0.98154,1.29331,0.000174,0.000174,0.000174
85,262.096,0.83911,0.53985,0.95443,0.77648,0.69478,0.75197,0.47016,1.31994,0.98049,1.29973,0.000152,0.000152,0.000152
86,265.044,0.8162,0.54753,0.95009,0.75381,0.71446,0.75342,0.47711,1.32193,0.98585,1.28394,0.00013,0.00013,0.00013
87,268.029,0.85141,0.54014,0.96215,0.78773,0.69724,0.75082,0.47058,1.3438,0.99215,1.30379,0.000108,0.000108,0.000108
88,271.025,0.81603,0.53233,0.9521,0.7886,0.69394,0.75259,0.47248,1.33983,0.97784,1.30808,8.6e-05,8.6e-05,8.6e-05
89,273.964,0.81483,0.53934,0.94263,0.78792,0.70303,0.75813,0.47511,1.33515,0.96829,1.30985,6.4e-05,6.4e-05,6.4e-05
90,276.969,0.8332,0.52762,0.95624,0.78747,0.69615,0.75556,0.47299,1.33915,0.97819,1.30976,4.2e-05,4.2e-05,4.2e-05
